Date,Open,High,Low,Close,Adj Close,Volume
28/10/2021,312.98999,325.519989,308.109985,316.920013,316.584106,50806800
29/10/2021,320.190002,326,319.600006,323.570007,323.227051,37059400
01/11/2021,326.040009,333.450012,326,329.980011,329.63028,31518900
02/11/2021,331.380005,334.790009,323.799988,328.079987,327.732269,28353000
03/11/2021,327.48999,332.149994,323.200012,331.619995,331.268524,20786500
04/11/2021,334.01001,337.269989,332.649994,335.850006,335.494049,22495300
05/11/2021,340.309998,346.790009,339.640015,341.130005,340.768433,26872800
08/11/2021,344.420013,344.790009,338.339996,338.619995,338.261108,18342500
09/11/2021,340,341.309998,334.470001,335.369995,335.014526,17556700
10/11/2021,332.48999,333.190002,325.51001,327.640015,327.292755,21872600
11/11/2021,329.820007,332.459991,327,327.73999,327.392609,12376600
12/11/2021,330.179993,341.859985,329.779999,340.890015,340.528717,25414300
15/11/2021,344.339996,353.649994,343.200012,347.559998,347.19162,25076600
16/11/2021,343.829987,346.649994,340.869995,342.959991,342.596497,18181100
17/11/2021,344.23999,347.299988,340.100006,340.769989,340.408813,13602800
18/11/2021,339.720001,342.459991,335.299988,338.690002,338.331024,17487200
19/11/2021,342.200012,352.100006,339.899994,345.299988,344.934021,26488500
22/11/2021,349.049988,353.829987,340.51001,341.01001,340.64859,27116800
23/11/2021,338.929993,341.399994,333.5,337.25,336.892548,17225000
24/11/2021,336,341.779999,332.809998,341.059998,340.698517,13566200
26/11/2021,335.799988,337.75,331.899994,333.119995,332.766937,14750700
29/11/2021,336.890015,340.670013,335.309998,338.029999,337.671722,16650900
30/11/2021,335,335.809998,323.429993,324.459991,324.116089,25390000
01/12/2021,330.290009,330.5,310.290009,310.600006,310.270813,30329600
02/12/2021,311.399994,314.600006,307.200012,310.390015,310.061035,24396200
03/12/2021,313.730011,313.75,299.5,306.839996,306.514771,27471000
06/12/2021,308.130005,320.100006,306.339996,317.869995,317.533081,21758300
07/12/2021,321.570007,326.540009,321,322.809998,322.467865,18794000
08/12/2021,325,332.75,323.070007,330.559998,330.209625,19937700
09/12/2021,329.540009,336.130005,328,329.820007,329.470428,16879200
10/12/2021,332.559998,335.029999,326.369995,329.75,329.400513,14528000
13/12/2021,330.950012,341.089996,329.589996,334.48999,334.135468,22948700
14/12/2021,328.049988,335.700012,327.649994,333.73999,333.386261,20461000
15/12/2021,332.48999,342.109985,323.980011,341.660004,341.297882,24681300
16/12/2021,338.980011,344.459991,333.73999,334.899994,334.545044,22635000
17/12/2021,332.799988,337.109985,330.75,333.790009,333.436218,40012600
20/12/2021,329.779999,329.899994,322.529999,325.450012,325.105072,17901800
21/12/2021,326.410004,336,323.75,334.200012,333.845795,16116800
22/12/2021,333.799988,334.51001,328.26001,330.450012,330.099762,16764600
23/12/2021,330.100006,336.670013,328.359985,335.23999,334.884674,13987700
27/12/2021,338.850006,347.869995,338.01001,346.179993,345.81308,17795000
28/12/2021,346.630005,352.709991,345.200012,346.220001,345.853058,16637600
29/12/2021,346.910004,349.690002,341.640015,342.940002,342.576538,10747000
30/12/2021,344,347.230011,343.220001,344.359985,343.994995,10593300
31/12/2021,343.019989,343.440002,336.269989,336.350006,335.9935,12870500
03/01/2022,338.299988,341.079987,337.190002,338.540009,338.181183,14537900
04/01/2022,339.950012,343.089996,331.869995,336.529999,336.173309,15998000
05/01/2022,333.019989,335.76001,323.839996,324.170013,323.826416,20564500
06/01/2022,322.820007,339.170013,322.720001,332.459991,332.107635,27962800
07/01/2022,332.73999,337,328.880005,331.790009,331.438354,14722000
10/01/2022,325.309998,328.339996,315.429993,328.070007,327.72229,24942400
11/01/2022,326.779999,334.630005,325.279999,334.369995,334.015594,16226800
12/01/2022,335.179993,336.369995,330.029999,333.26001,332.906799,14104900
13/01/2022,334.980011,335.630005,325.76001,326.480011,326.133972,14797100
14/01/2022,321.790009,332.730011,321.209991,331.899994,331.548218,16868500
18/01/2022,323.290009,324.209991,317.640015,318.149994,317.812805,22645600
19/01/2022,319.579987,327.100006,319.329987,319.589996,319.251251,20814700
20/01/2022,323.899994,327.820007,315.980011,316.559998,316.224487,16925000
21/01/2022,314.809998,318.309998,303.040009,303.170013,302.848694,28710700
24/01/2022,297.839996,309.529999,289.01001,308.709991,308.382782,38878100
25/01/2022,299.950012,306.230011,297.579987,300.149994,299.831879,25108500
26/01/2022,307.01001,307.51001,290.850006,294.630005,294.317719,28348800
27/01/2022,297.75,301.709991,294.26001,294.640015,294.327728,21629900
28/01/2022,295.619995,301.899994,293.029999,301.709991,301.390198,21871600
31/01/2022,300.679993,313.790009,299.320007,313.26001,312.927979,21579500
01/02/2022,314.559998,319.660004,312.119995,319,318.661896,18023800
02/02/2022,327.820007,328,316.869995,323,322.657654,58458300
03/02/2022,244.649994,248,235.75,237.759995,237.507996,188119900
04/02/2022,234.970001,242.610001,230.110001,237.089996,236.838715,89342200
07/02/2022,237.699997,238.300003,224.009995,224.910004,224.671631,88613800
08/02/2022,220.850006,225.770004,216.149994,220.179993,219.946625,94729700
09/02/2022,224.199997,233.369995,222.210007,232,231.754105,86563300
10/02/2022,228.270004,235,226.699997,228.070007,227.828278,49310400
11/02/2022,228.460007,230.419998,218.770004,219.550003,219.317307,46156900
14/02/2022,219.309998,221,214.779999,217.699997,217.469254,38184000
15/02/2022,220.470001,221.149994,215.059998,221,220.765762,42685500
16/02/2022,212.410004,217.460007,212.360001,216.539993,216.310486,45817500
17/02/2022,214.020004,217.5,207.160004,207.710007,207.489853,38747500
18/02/2022,209.389999,210.75,205.179993,206.160004,205.941498,37128400
22/02/2022,202.339996,207.479996,200.059998,202.080002,201.865814,39852400
23/02/2022,204.160004,206.940002,198.050003,198.449997,198.239655,44481400
24/02/2022,191.059998,208.350006,190.220001,207.600006,207.379974,49957200
25/02/2022,204.940002,211.320007,203.179993,210.479996,210.256912,37627600
28/02/2022,207.679993,213.149994,206.830002,211.029999,210.806335,34239800
01/03/2022,209.869995,211.75,202.220001,203.490005,203.274323,27094900
02/03/2022,204.779999,209.149994,202.020004,208.110001,207.88942,29452100
03/03/2022,209.020004,209.080002,201.419998,202.970001,202.754883,27263500
04/03/2022,202.369995,205.889999,198.789993,200.059998,199.847961,32130900
07/03/2022,200.789993,200.889999,187.279999,187.470001,187.271301,38560600
08/03/2022,187.850006,196.699997,186.110001,190.289993,190.088303,37508100
09/03/2022,195.740005,199.100006,193.919998,198.5,198.289612,31894700
10/03/2022,194.839996,196.279999,191.070007,195.210007,195.003113,24853000
11/03/2022,192.639999,193.559998,186.669998,187.610001,187.411148,34694500
14/03/2022,187.029999,192.289993,185.820007,186.630005,186.432205,31010500
15/03/2022,190.800003,192.279999,185.910004,192.029999,191.826462,31721700
16/03/2022,194.699997,203.729996,194.520004,203.630005,203.414185,40640300
17/03/2022,201.699997,208.039993,201.110001,207.839996,207.619705,29499700
18/03/2022,206.699997,216.800003,206,216.490005,216.260544,52128000
21/03/2022,214.5,214.710007,207.630005,211.490005,211.265854,30142300
22/03/2022,211.369995,219.460007,210.179993,216.649994,216.420364,31998800
23/03/2022,213.330002,216.800003,212.160004,213.460007,213.233765,23717300
24/03/2022,215,220.669998,214.789993,219.570007,219.33728,31502300
25/03/2022,220.509995,225.5,218.889999,221.820007,221.5849,40039000
28/03/2022,222.130005,224.039993,219.539993,223.589996,223.353012,26224100
29/03/2022,226.070007,230.889999,225.289993,229.860001,229.616379,31417900
